id,name,neighbourhood_cleansed,latitude,longitude,price,security_deposit,cleaning_fee,extra_people,guests_included,property_type,room_type,accommodates,bathrooms,bedrooms,beds,number_of_reviews,reviews_per_month,review_scores_rating,review_scores_location,availability_365,host_id,host_is_superhost,host_identity_verified,is_superhost
33776097,Departamento 1 ero B,Colegiales,-34.56763,-58.45101,2191.0,,,0.0,1,Apartment,Entire home/apt,4,1.0,1.0,3.0,51,4.11,96.0,10.0,365,215285828,False,False,0.0
33777387,Palermo 1 Bed. Private Barbacue,Palermo,-34.58062,-58.43381,2987.0,13276.0,2323.0,1328.0,3,Apartment,Entire home/apt,4,1.0,1.0,3.0,5,0.4,100.0,10.0,365,216430388,True,False,0.0
33778820,Beautiful & cozy Studio in Coghlan!,Coghlan,-34.56262,-58.47119,1328.0,33189.0,664.0,0.0,1,Apartment,Entire home/apt,2,1.0,0.0,1.0,7,0.57,97.0,10.0,147,9060303,True,False,0.0
33778939,Feel home in Palermo Soho,Palermo,-34.58611,-58.41897,2456.0,7966.0,1991.0,664.0,2,Apartment,Entire home/apt,4,1.0,1.0,2.0,15,1.34,97.0,10.0,85,74019106,True,False,0.0
33779939,ALEGRE Y CONFORTABLE DEPARTAMENTO EN BELGRANO R,Belgrano,-34.56911,-58.46874,1128.0,0.0,996.0,332.0,2,Apartment,Entire home/apt,3,1.0,1.0,2.0,9,0.73,100.0,10.0,359,146289738,True,False,0.0
33780444,Departamento en Palermo,Palermo,-34.58794,-58.41399,1328.0,0.0,700.0,0.0,1,Apartment,Entire home/apt,3,1.0,1.0,2.0,1,0.11,80.0,10.0,365,153306251,False,False,0.0
33780992,Beautiful and Spacious Apt. in Recoleta - 2BR,Recoleta,-34.59003,-58.40522,5974.0,19914.0,1991.0,0.0,1,Apartment,Entire home/apt,4,1.5,2.0,3.0,12,0.97,98.0,10.0,89,254192188,True,False,0.0
33781812,COZY SUNNY ROOM IN BIG FLAT,Recoleta,-34.5962,-58.41399,664.0,,996.0,0.0,1,Apartment,Private room,1,1.0,1.0,1.0,1,0.2,100.0,10.0,364,229135407,False,False,0.0
33783560,Departamento en  Gurruchaga   en Palermo Queens,Villa Crespo,-34.59944,-58.44387,2921.0,5700.0,286.0,0.0,3,Apartment,Entire home/apt,3,1.0,0.0,3.0,3,0.26,100.0,10.0,364,207023827,False,False,0.0
33783611,House in Palermo. High internet speed,Palermo,-34.58931,-58.42456,4978.0,13276.0,1659.0,0.0,1,Apartment,Entire home/apt,5,1.0,2.0,5.0,9,1.9,96.0,10.0,364,56533298,True,True,0.0
33793339,La Belle Époque,Recoleta,-34.58809,-58.40744,996.0,5000.0,0.0,0.0,1,Apartment,Private room,2,2.0,1.0,1.0,0,0.0,,,364,870511,False,True,0.0
33794184,La mejor ubicación para conocer Buenos Aires,Monserrat,-34.6104,-58.38123,1991.0,,,0.0,1,Apartment,Entire home/apt,4,1.0,2.0,2.0,0,0.0,,,0,146196419,False,False,0.0
33794849,Espectacular departamento en Palermo!,Palermo,-34.58025,-58.41247,3319.0,,1328.0,664.0,2,Apartment,Entire home/apt,4,2.0,1.0,2.0,6,0.48,97.0,10.0,172,98408020,True,False,0.0
33795652,Hermoso departamento a pocos minutos de Palermo,Villa Crespo,-34.60273,-58.44351,1527.0,0.0,797.0,0.0,1,Apartment,Entire home/apt,2,1.0,1.0,1.0,14,1.35,98.0,10.0,175,141510760,True,True,0.0
33796229,"Esplendido Studio seguridad, jacuzzi, gym, piscina",Palermo,-34.56931,-58.43396,3319.0,66380.0,1659.0,0.0,1,Apartment,Entire home/apt,2,1.0,1.0,1.0,0,0.0,,,365,251561536,False,False,0.0
33796651,Best location to be local in Palermo Soho,Palermo,-34.58473,-58.41721,2124.0,0.0,1221.0,0.0,1,Apartment,Entire home/apt,2,1.0,0.0,1.0,33,2.73,97.0,10.0,173,1638088,True,False,0.0
33797942,New Boutique loft in Recoleta for 3 pax,Recoleta,-34.59263,-58.39954,1991.0,6638.0,664.0,0.0,1,Apartment,Entire home/apt,3,1.0,1.0,1.0,14,2.07,89.0,10.0,356,3882929,False,True,0.0
33798723,Private room in GREAT Palermo Hollywood apartment,Palermo,-34.58003,-58.44127,797.0,,,0.0,1,Apartment,Private room,1,1.0,1.0,1.0,1,0.08,100.0,10.0,0,15594392,False,True,0.0
33799646,GREAT APARTMENT IN PALERMO,Palermo,-34.57683,-58.43667,4580.0,33190.0,1261.0,0.0,1,Apartment,Entire home/apt,2,1.5,1.0,1.0,3,0.25,100.0,10.0,0,73661998,False,False,0.0
33799956,Lindisimo dpto de un ambiente con vista al río.,Belgrano,-34.56124,-58.44482,1792.0,,700.0,0.0,1,Guest suite,Entire home/apt,2,1.5,0.0,2.0,0,0.0,,,364,172559705,False,False,0.0
33800003,Loft. Apart tipo casa con seguridad 24hs,Colegiales,-34.58067,-58.45004,2655.0,,1991.0,0.0,1,Apartment,Entire home/apt,3,1.5,1.0,2.0,3,0.24,90.0,10.0,237,5303004,False,True,0.0
33800198,2 AMBIENTES EN PLENA RECOLETA,Retiro,-34.59879,-58.3867,1195.0,0.0,2589.0,332.0,2,Apartment,Entire home/apt,4,1.0,1.0,4.0,0,0.0,,,364,44622369,False,False,0.0
33800452,Departamento centrico 1 ambiente,San Nicolas,-34.605,-58.3906,3983.0,,,0.0,1,Apartment,Entire home/apt,2,1.0,1.0,1.0,0,0.0,,,364,255191386,False,False,0.0
